Calculation of Software Quality Metrics for system: smallsql
Duplication calculation
Source: ColumnExpression.java, LOC duplicated: 0
Source: CommandDrop.java, LOC duplicated: 0
Source: ExpressionFunctionDifference.java, LOC duplicated: 6
Source: ExpressionFunctionYear.java, LOC duplicated: 0
Source: TestMoneyRounding.java, LOC duplicated: 6
Source: BenchTest.java, LOC duplicated: 228
Source: ExpressionValue.java, LOC duplicated: 36
Source: ExpressionFunctionSign.java, LOC duplicated: 0
Source: FileIndexNode.java, LOC duplicated: 0
Source: ExpressionFunctionCot.java, LOC duplicated: 0
Source: StorePageMap.java, LOC duplicated: 0
Source: ForeignKey.java, LOC duplicated: 0
Source: ExpressionFunctionDegrees.java, LOC duplicated: 0
Source: ExpressionFunctionDayOfWeek.java, LOC duplicated: 0
Source: ExpressionFunctionCos.java, LOC duplicated: 0
Source: MutableDouble.java, LOC duplicated: 12
Source: SQLToken.java, LOC duplicated: 0
Source: SSCallableStatement.java, LOC duplicated: 162
Source: ExpressionFunctionRepeat.java, LOC duplicated: 0
Start calculating Cyclomatic Complexity and Unit size
Walk through all methods
Method: |java+method:///smallsql/database/SSStatement/setFetchDirection(int)|, loc 3, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSCallableStatement/setBlob(int,java.io.InputStream,long)|, loc 3, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ExpressionArithmetic/getDouble()|, loc 24, cc: 16, cc rank: moderate, unit size: simple
Method: |java+method:///smallsql/database/Expression/getInt()|, loc 0, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/junit/TestLanguage/testBogusLocale()|, loc 18, cc: 2, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Utils/createLobFileName(smallsql.database.Database,java.lang.String)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/UnionAll/next()|, loc 12, cc: 4, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/junit/TestGroupBy/init()|, loc 26, cc: 3, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSDatabaseMetaData/allProceduresAreCallable()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ExpressionArithmetic/getOperationFromToken(int)|, loc 26, cc: 23, cc rank: high, unit size: simple
Method: |java+method:///smallsql/database/DataSource/init(smallsql.database.SSConnection)|, loc 0, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/StoreImpl/resizePage(int)|, loc 5, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Index/clear()|, loc 4, cc: 1, cc rank: simple, unit size: simple
Method: |java+constructor:///smallsql/database/Index/Index(smallsql.database.IndexNode)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/junit/BasicTestCase/printSQL(java.lang.String)|, loc 5, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/UnionAll/getMoney(int)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSDatabaseMetaData/supportsLikeEscapeClause()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSDatabaseMetaData/supportsANSI92FullSQL()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSResultSet/getNCharacterStream(int)|, loc 3, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/Store/getLong(int,int)|, loc 0, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSCallableStatement/getSQLXML(int)|, loc 3, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSDatabaseMetaData/ownUpdatesAreVisible(int)|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/SSStatement/cancel()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/MemoryResult/rowDeleted()|, loc 2, cc: 1, cc rank: simple, unit size: simple
Method: |java+method:///smallsql/database/ExpressionArithmetic/getDoubleImpl()|, loc 4, cc: 2, cc rank: simple, unit size: simple
